,time,id,x,y,z,velocity,angle of motion,facing angle
15944664,1351073960.122,19192000,-19215,-4777,1139.094,589.018,1.078,0.0
15944672,1351073960.162,19192000,-19214,-4778,1139.212,586.878,1.058,1.113
15944680,1351073960.202,19192000,-19205,-4760,1138.4389999999999,550.15,1.078,1.056
15944688,1351073960.2419999,19192000,-19192,-4745,1156.463,540.929,1.062,1.014
15944696,1351073960.284,19192000,-19183,-4711,1168.1580000000001,589.884,1.0759999999999998,1.056
15944704,1351073960.323,19192000,-19175,-4675,1213.0739999999998,638.2769999999999,1.047,1.093
15944712,1351073960.363,19192000,-19149,-4629,1243.451,735.5880000000001,1.094,1.1440000000000001
15944720,1351073960.403,19192000,-19138,-4598,1260.2830000000001,761.19,1.13,1.167
15944728,1351073960.446,19192000,-19101,-4570,1285.253,815.88,1.155,1.198
15944736,1351073960.486,19192000,-19077,-4559,1300.401,898.008,1.104,1.1440000000000001
15944744,1351073960.524,19192000,-19021,-4546,1325.741,988.939,0.9359999999999999,0.997
15944752,1351073960.569,19192000,-18956,-4527,1345.5810000000001,1104.985,0.773,0.855
15944760,1351073960.612,19192000,-18847,-4526,1371.086,1296.14,0.588,0.638
15944768,1351073960.654,19192000,-18784,-4518,1384.881,1322.319,0.557,0.568
15944776,1351073960.694,19192000,-18723,-4504,1393.269,1346.509,0.562,0.561
15944784,1351073960.737,19192000,-18670,-4489,1415.69,1361.7839999999999,0.546,0.537
15944792,1351073960.779,19192000,-18641,-4467,1428.325,1398.119,0.5720000000000001,0.606
15944800,1351073960.821,19192000,-18601,-4440,1314.082,1345.4189999999999,0.603,0.625
15944808,1351073960.863,19192000,-18564,-4418,1270.651,1294.576,0.586,0.608
15944816,1351073960.904,19192000,-18539,-4398,1260.0339999999999,1259.915,0.627,0.6829999999999999
15944824,1351073960.943,19192000,-18514,-4356,1240.975,1298.538,0.723,0.737
15944832,1351073960.983,19192000,-18492,-4331,1231.779,1324.9160000000002,0.768,0.7809999999999999
15944840,1351073961.028,19192000,-18470,-4304,1259.012,1323.955,0.768,0.802
15944848,1351073961.069,19192000,-18446,-4273,1275.756,1260.481,0.789,0.8370000000000001
15944856,1351073961.109,19192000,-18414,-4282,1309.9080000000001,1168.662,0.742,0.765
15944864,1351073961.15,19192000,-18401,-4259,1323.829,1158.38,0.7120000000000001,0.779
